,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC
3161,Castlevania,N64,1999.0,Platform,Konami Digital Entertainment,0.44,0.1,0.04,0.05,0.64,78.0,15.0,7.3,71.0,16.0,112.0,17.1,7.0,Autre,français,anglais
3162,Rayman 2: The Great Escape,N64,1999.0,Platform,Ubisoft,0.4,0.22,0.0,0.02,0.64,90.0,12.0,8.7,120.0,13.0,166.0,14.6,7.0,Cartouche,français,français
3164,The Lord of the Rings: Conquest,X360,2009.0,Action,Electronic Arts,0.37,0.21,0.0,0.06,0.64,55.0,58.0,7.0,120.0,12.0,30.0,15.1,12.0,Autre,français,français
3166,Onimusha: Dawn of Dreams,PS2,2006.0,Action,Capcom,0.15,0.12,0.34,0.04,0.64,81.0,45.0,8.7,101.0,17.0,65.0,16.9,12.0,DVD,français,français
3167,NieR,PS3,2010.0,Role-Playing,Square Enix,0.17,0.2,0.2,0.07,0.64,68.0,58.0,8.6,519.0,16.0,197.0,17.1,18.0,Blu-Ray,anglais,français
3169,Sega Rally Revo,PS3,2007.0,Racing,Sega,0.07,0.43,0.0,0.14,0.64,75.0,40.0,7.1,21.0,16.0,61.0,14.1,3.0,Blu-Ray,anglais,français
3172,Konami Collector's Series: Arcade Advanced,GBA,2002.0,Misc,Konami Digital Entertainment,0.46,0.17,0.0,0.01,0.64,78.0,10.0,8.6,5.0,3.0,4.0,11.0,3.0,Cartouche,français,anglais
3173,White Knight Chronicles II,PS3,2010.0,Role-Playing,Sony Computer Entertainment,0.23,0.09,0.27,0.05,0.64,60.0,45.0,7.1,76.0,12.0,80.0,16.6,16.0,Blu-Ray,français,français
3174,Wolfenstein,PS3,2009.0,Shooter,Activision,0.25,0.28,0.0,0.11,0.64,71.0,58.0,8.2,153.0,12.0,81.0,14.9,18.0,Blu-Ray,français,français
3177,Start the Party!,PS3,2010.0,Misc,Sony Computer Entertainment,0.07,0.42,0.0,0.14,0.64,55.0,47.0,5.8,22.0,9.0,3.0,10.3,7.0,Autre,français,français
3180,NBA Live 08,PS3,2007.0,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.64,73.0,28.0,6.9,11.0,16.0,49.0,18.4,3.0,Blu-Ray,français,français
3181,The Walking Dead: Survival Instinct,X360,2013.0,Shooter,Activision,0.46,0.12,0.0,0.05,0.64,32.0,30.0,4.0,417.0,6.0,32.0,10.9,18.0,Autre,anglais,français
3182,Donkey Kong Barrel Blast,Wii,2007.0,Racing,Nintendo,0.2,0.26,0.11,0.06,0.64,46.0,34.0,6.7,48.0,10.0,28.0,12.3,3.0,DVD,français,français
3184,Lemony Snicket's A Series of Unfortunate Events,PS2,2004.0,Platform,Activision,0.31,0.24,0.0,0.08,0.64,63.0,25.0,6.1,14.0,15.0,7.0,16.3,3.0,Autre,français,français
3187,Red Steel 2,Wii,2010.0,Shooter,Ubisoft,0.36,0.21,0.01,0.06,0.63,80.0,73.0,8.4,207.0,16.0,155.0,16.3,3.0,Autre,français,français
3188,X-Men Legends II: Rise of Apocalypse,PS2,2005.0,Role-Playing,Activision,0.53,0.02,0.0,0.09,0.63,82.0,44.0,7.9,60.0,12.0,14.0,16.4,12.0,DVD,anglais,français
3190,SingStar Queen,PS2,2009.0,Misc,Sony Computer Entertainment,0.08,0.12,0.0,0.44,0.63,73.0,9.0,7.8,6.0,11.0,2.0,18.5,12.0,DVD,français,français
3192,F1 2013,PS3,2013.0,Racing,Codemasters,0.01,0.45,0.03,0.15,0.63,77.0,22.0,6.5,49.0,16.0,48.0,15.6,3.0,Blu-Ray,français,français
3193,Juiced 2: Hot Import Nights,X360,2007.0,Racing,THQ,0.22,0.34,0.0,0.07,0.63,68.0,24.0,7.5,28.0,14.0,26.0,16.4,12.0,Autre,français,français
3197,Ghostbusters: The Video Game,X360,2009.0,Action,Atari,0.43,0.14,0.0,0.06,0.63,79.0,53.0,8.5,154.0,11.0,2.0,12.0,3.0,Autre,français,français
