,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
2350,Peppa Pig: The Game,DS,2008.0,Misc,Pinnacle,0.0,0.82,0.0,0.06,0.88,,,,,,,,,,,no_data,no_data,no_data,,,,,
2351,Michael Jackson: The Experience,X360,2011.0,Misc,Ubisoft,0.62,0.2,0.0,0.07,0.88,,,,,,,,,,,13,(12),14.8,+12 ans,2 joueurs ad hoc,,New Game Media,
2352,Ghostbusters: The Video Game,Wii,2009.0,Action,Atari,0.6,0.21,0.0,0.08,0.88,,,,,,,,,,,--,(2),12,,,,,
2353,Rock Band 3,X360,2010.0,Misc,MTV Games,0.73,0.1,0.0,0.06,0.88,,,,,,,,,,,19,(42),17.4,+12 ans,,,Cartouche Blu-Ray DVD,Voix en français Textes en français
2354,Resident Evil: Revelations,3DS,2012.0,Action,Capcom,0.3,0.22,0.3,0.05,0.88,,,,,,,Capcom,Multilingue,16 ?,Un à deux joueurs,10,(28),7.1,+18 ans,,,,
2355,NBA 2K6,PS2,2005.0,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88,,,,,,,Visual Concepts,,,"Un joueur, multijoueur",13,(25),17.8,+3 ans,Jusqu'à 4 joueurs Offline et 10 joueurs Online,Multi en ligne,DVD,Textes en français Voix en anglais
2356,Buzz! The Mega Quiz,PS2,2007.0,Misc,Sony Computer Entertainment,0.32,0.06,0.0,0.5,0.88,,,,,,,,,,,15,(8),17.5,+12 ans,2 à 8 joueurs,,DVD,Voix en français Textes en français
2357,Endless Ocean: Blue World,Wii,2009.0,Simulation,Nintendo,0.47,0.22,0.12,0.07,0.88,,,,,,,,,,,15,(98),18.4,+7 ans,2 joueurs,,DVD,Voix en français Textes en français
2358,Star Wars: Rebel Assault II - The Hidden Empire,PS,1996.0,Shooter,CTO SpA,0.49,0.33,0.0,0.06,0.88,,,,,,,,,,,--,(7),16.7,,,,,
2359,Just Cause 3,XOne,2015.0,Action,Square Enix,0.42,0.38,0.0,0.07,0.88,,,,18 ans et plus. 4.5 ; Ace Combat 7 Skies Unknown (Xbox One).,,,,,,,14,(34),15.2,+18 ans,,Jouable en solo,Blu-Ray Windows Store Steam PlayStation Store DVD,Textes en français
